label,cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,y,y,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g
e,b,s,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
e,f,f,g,t,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d
p,x,s,w,t,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,g
e,x,f,e,t,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d
e,x,f,e,t,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d
e,f,y,n,f,f,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,d
p,x,f,g,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,d
e,f,s,n,f,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g
e,f,f,y,t,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
p,x,y,y,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,p
p,x,s,b,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,s,g
p,f,y,g,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p
p,f,f,g,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d
e,f,f,e,t,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d
e,f,f,g,t,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d
e,f,f,n,f,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u
e,x,y,n,t,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
e,f,f,e,t,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
e,x,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
e,f,f,g,t,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d
p,f,f,g,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p
e,f,s,g,f,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g
p,x,f,y,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g
p,x,f,y,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,g
e,x,y,y,t,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p
e,f,f,g,f,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g
p,f,s,g,t,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,v,g
p,f,f,g,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p
p,b,s,b,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,m
e,x,s,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
p,f,y,y,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p
e,f,f,n,f,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u
e,f,f,e,t,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d
p,x,f,y,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g
e,f,f,e,t,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d
p,x,f,g,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,p
p,x,f,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,g
e,f,y,g,t,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d
e,f,s,g,f,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g
e,x,f,g,f,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g
p,f,f,g,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g
e,f,y,n,f,f,w,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l
e,f,f,g,f,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g
p,f,f,y,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,g
e,b,s,y,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m
p,k,y,c,f,a,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d
e,x,f,n,t,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d
e,x,f,w,f,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g
e,f,s,n,f,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g
e,f,y,e,t,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d
p,x,f,g,f,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d
p,x,s,g,t,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,v,g
e,f,f,g,t,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d
p,f,y,y,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g
e,x,y,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,y,e,t,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
e,x,s,n,f,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g
e,f,f,n,t,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d
e,x,s,y,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
p,f,s,w,t,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,s,g
p,x,s,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
e,f,f,n,t,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d
e,f,f,e,t,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d
p,x,y,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
e,b,y,w,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
e,b,y,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
p,f,f,g,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,d
e,x,y,e,t,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d
p,f,f,y,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d
e,x,f,n,t,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
p,x,f,g,f,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d
p,x,y,y,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p
e,f,s,g,f,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g
p,x,s,b,t,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,g
p,x,y,n,t,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
e,f,y,y,t,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g
e,x,y,n,t,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d
p,k,y,c,f,a,c,b,y,e,c,k,y,c,c,p,w,n,n,w,c,d
e,f,f,w,f,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
e,f,y,e,t,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d
e,k,y,n,f,f,w,n,w,e,b,s,s,w,n,p,w,o,e,w,v,l
e,x,s,g,f,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g
e,x,s,g,f,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g
e,f,f,n,f,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g
p,f,y,w,t,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
e,x,f,e,t,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d
e,s,f,g,f,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
e,b,y,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,y,n,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,v,p
p,x,f,g,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,g
e,b,s,y,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
p,f,f,g,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p
e,f,y,n,t,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g
p,f,f,g,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p
e,x,f,g,t,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d
e,f,f,e,t,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d
e,f,s,n,f,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g
p,x,f,g,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d
e,x,f,e,t,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d
e,b,s,y,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
p,f,y,y,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p
p,x,s,g,t,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,s,u
e,f,f,e,t,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d
e,f,s,g,f,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g
p,f,s,w,t,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
e,f,y,y,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g
e,f,f,n,t,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d
p,f,f,g,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,p
p,f,s,g,f,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g
p,f,y,y,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d
e,x,f,n,t,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,v,d
e,f,s,g,f,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g
e,f,f,n,t,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d
e,b,y,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,y,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
e,f,f,g,t,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d
e,x,f,g,f,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g
e,x,f,w,f,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g
e,x,y,g,t,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d
e,x,y,y,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p
p,k,y,c,f,f,c,b,y,e,c,k,y,c,c,p,w,n,n,w,c,d
e,x,y,n,t,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
e,x,y,n,t,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d
e,b,y,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
p,x,s,w,t,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,s,u
p,x,f,y,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,p
p,f,f,y,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,d
e,f,s,p,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,v,p
p,f,y,y,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,g
e,f,s,g,f,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g
p,x,y,y,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d
e,x,f,g,f,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g
p,f,s,g,t,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,v,u
p,f,y,w,t,f,c,b,r,e,b,s,s,w,w,p,w,t,p,r,v,m
e,f,y,n,t,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d
p,f,f,g,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g
e,x,y,e,t,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d
e,f,f,y,t,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,n,t,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d
e,x,y,g,t,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d
e,x,y,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
e,f,y,e,t,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d
e,x,y,e,t,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
p,f,f,g,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p
p,x,y,g,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p
e,k,f,c,f,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l
p,f,y,g,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,p
e,x,f,n,t,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d
e,x,y,y,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g
e,f,y,g,t,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d
e,x,f,g,t,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d
e,x,s,w,f,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g
e,x,f,g,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g
p,x,y,y,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g
e,b,s,w,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,f,g,f,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
e,f,f,g,t,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d
e,x,y,g,t,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d
e,x,y,e,t,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d
e,x,y,n,t,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d
e,x,f,w,f,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g
e,f,y,e,t,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d
e,f,y,c,f,f,w,n,w,e,b,f,f,w,n,p,w,o,e,w,v,l
e,x,y,g,t,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
e,f,f,g,t,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d
e,x,s,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m
e,f,f,e,t,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d
e,x,y,n,t,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d
e,f,y,g,t,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d
e,x,y,n,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g
e,b,s,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m
e,x,y,g,t,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d
e,f,f,g,f,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g
e,x,f,e,t,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d
e,f,y,e,t,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d
e,f,y,e,t,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d
e,f,f,g,t,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d
p,f,y,y,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d
p,f,y,g,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,p
p,x,f,y,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g
e,x,s,w,f,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g
e,x,y,n,t,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d
e,x,f,c,f,f,w,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l
e,f,y,e,t,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d
p,x,f,g,f,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d
p,x,s,g,f,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d
e,x,y,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m
p,c,y,y,f,f,w,n,y,e,c,y,y,y,y,p,y,o,e,w,c,l
e,b,y,y,f,f,w,n,y,e,c,y,y,y,y,p,y,o,e,w,c,l
p,f,f,y,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,d
p,x,f,p,f,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,v,d
e,f,f,g,t,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
e,f,s,n,f,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g
e,x,s,w,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
e,x,s,w,t,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
e,f,y,e,t,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d
p,f,y,g,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d
e,x,s,g,f,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g
e,b,y,w,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
e,x,y,g,t,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,y,d
e,x,f,n,t,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d
p,f,y,g,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p
p,f,y,g,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d
e,b,y,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m
e,x,y,y,t,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
p,f,f,g,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p
p,x,f,g,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p
p,x,y,g,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d
e,f,y,g,t,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d
p,x,f,y,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,d
e,x,f,n,f,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g
e,f,f,g,t,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d
e,x,y,w,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
p,x,y,e,t,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d
p,f,f,g,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g
p,x,y,w,t,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u
e,x,y,e,t,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d
e,x,s,n,f,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g
e,f,y,n,t,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d
e,x,y,n,t,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d
e,f,y,e,t,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d
p,x,f,y,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p
e,x,f,g,t,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d
e,x,f,n,t,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d
p,x,f,y,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d
e,f,f,n,f,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,f,w,f,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g
e,f,y,n,t,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d
e,f,f,g,f,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u
p,x,s,g,t,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,u
p,f,y,g,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,p
e,f,f,g,f,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g
e,x,f,w,t,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,s,g,f,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g
e,x,f,w,f,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g
e,x,y,n,f,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l
e,f,y,n,t,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g
e,x,y,e,t,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d
p,x,f,g,f,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,v,d
e,f,f,e,t,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d
e,f,y,g,t,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d
p,f,y,y,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,d
e,x,f,n,t,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
e,f,s,w,f,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g
p,b,s,w,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g
e,f,y,y,t,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p
e,f,f,n,t,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d
e,x,y,g,t,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d
e,x,y,y,t,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
p,f,s,b,t,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,s,u
e,f,y,g,t,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d
p,x,y,g,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g
p,f,f,g,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,g
e,x,s,n,f,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g
e,f,f,e,t,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,y,d
e,x,y,g,t,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d
e,x,f,n,t,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d
e,f,y,n,t,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d
e,f,f,n,t,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d
e,x,y,n,t,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d
p,f,y,y,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p
e,b,y,y,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m
e,f,y,e,t,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d
e,x,y,g,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
e,b,s,w,t,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m
